Confirmed list of securities to be auctioned in A 2021184 to be held on Oct 01 2021.

Sr No,Symbol,Series,Total Qty
207,RCF,EQ,500
208,RELCAPITAL,EQ,4826
209,RELIANCE,EQ,57
210,REVATHI,EQ,1
211,RPGLIFE,EQ,5
212,RPSGVENT,EQ,4
213,RSWM,EQ,38
214,SAKSOFT,EQ,1
215,SALASAR,EQ,992
216,SANGHVIMOV,EQ,3
217,SANSERA,EQ,17
218,SARLAPOLY,EQ,180
219,SBIN,EQ,483
220,SECURKLOUD,EQ,1592
221,SEPOWER,EQ,529
222,SGIL,EQ,1
223,SHANTIGEAR,EQ,68
224,SHARDACROP,EQ,1
225,SHIVATEX,EQ,2
226,SHK,EQ,1
227,SHREERAMA,EQ,1752
228,SIEMENS,EQ,6
229,SITINET,EQ,184
230,SKIL,EQ,1
231,SOMANYCERA,EQ,7
232,SONACOMS,EQ,44
233,SOUTHWEST,EQ,44
234,SPARC,EQ,20
235,SPIC,EQ,1
236,SPICEJET,EQ,125
237,SPTL,EQ,16599
238,SREIBNPNCD,NQ,1
239,SRF,EQ,6
240,STAR,EQ,32
241,STEELXIND,EQ,10
242,SUBEXLTD,EQ,2250
243,SUNDRMFAST,EQ,32
244,SUNPHARMA,EQ,311
245,SURANAT&P,EQ,129
246,SUTLEJTEX,EQ,250
247,SUZLON,EQ,1389
248,TATACHEM,EQ,10
249,TATAMETALI,EQ,10
250,TATAMOTORS,EQ,324
251,TATAPOWER,EQ,2891
252,TCIDEVELOP,EQ,15
253,TCS,EQ,88
254,TEJASNET,EQ,225
255,TEXMOPIPES,EQ,433
256,TIRUMALCHM,EQ,100
257,TITAN,EQ,19
258,TORNTPHARM,EQ,2
259,TORNTPOWER,EQ,5
260,TREJHARA,EQ,213
261,TRENT,EQ,20
262,TRF,EQ,1051
263,TRIDENT,EQ,114
264,TRIVENI,EQ,150
265,TWL,EQ,100
266,UFLEX,EQ,23
267,UFO,EQ,5
268,UGARSUGAR,EQ,1689
269,ULTRACEMCO,EQ,3
270,UNIONBANK,EQ,5
271,UNIVPHOTO,EQ,1
272,VEDL,EQ,156
273,VINATIORGA,EQ,5
274,VIVIMEDLAB,EQ,2
275,VOLTAS,EQ,44
276,WELSPUNIND,EQ,80
277,WIPRO,EQ,25
278,ZEEMEDIA,EQ,3062
